episode,seed,agent_type,scenario,disrupted,success,episodic_return,steps,path_length,optimal_path_length,route_efficiency,regret,exploration_rate
1,55,dqn,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.4
2,55,dqn,central_route_closure,False,False,-192.0,40,,6,0.0,34.0,0.398
3,55,dqn,central_route_closure,False,False,-192.0,40,,6,0.0,34.0,0.39601000000000003
4,55,dqn,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.39402995
5,55,dqn,central_route_closure,False,False,-172.0,40,,6,0.0,34.0,0.39205980025000003
6,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.39009950124875004
7,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.38814900374250627
8,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3862082587237937
9,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.38427721743017473
10,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.38235583134302387
11,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3804440521863087
12,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.37854183192537716
13,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.37664912276575024
14,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3747658771519215
15,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3728920477661619
16,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3710275875273311
17,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3691724495896945
18,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.367326587341746
19,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3654899544050373
20,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3636625046330121
21,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.36184419210984703
22,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3600349711492978
23,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.35823479629355126
24,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3564436223120835
25,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.35466140420052306
26,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.35288809717952047
27,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3511236566936229
28,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3493680384101548
29,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.347621198218104
30,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34588309222701347
31,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3441536767658784
32,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.342432908382049
33,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34072074384013873
34,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33901714012093803
35,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33732205442033336
36,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3356354441482317
37,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33395726692749056
38,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3322874805928531
39,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33062604318988886
40,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.32897291297393944
41,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.32732804840906976
42,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3256914081670244
43,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.32406295112618927
44,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3224426363705583
45,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3208304231887055
46,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.319226271072762
47,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.31763013971739823
48,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.31604198901881125
49,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3144617790737172
50,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3128894701783486
51,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3113250228274569
52,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3097683977133196
53,55,dqn,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.308219555724753
