episode,seed,agent_type,scenario,disrupted,success,episodic_return,steps,path_length,optimal_path_length,route_efficiency,regret,exploration_rate
1,22,q_learning,central_route_closure,False,False,-196.0,40,,6,0.0,34.0,0.35
2,22,q_learning,central_route_closure,False,False,-196.0,40,,6,0.0,34.0,0.34825
3,22,q_learning,central_route_closure,False,False,-192.0,40,,6,0.0,34.0,0.34650875
4,22,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34477620625
5,22,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.34305232521875
6,22,q_learning,central_route_closure,False,False,-184.0,40,,6,0.0,34.0,0.34133706359265625
7,22,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.33963037827469295
8,22,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3379322263833195
9,22,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3362425652514029
10,22,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3345613524251459
11,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.3328885456630202
12,22,q_learning,central_route_closure,False,False,-172.0,40,,6,0.0,34.0,0.33122410293470506
13,22,q_learning,central_route_closure,False,False,-196.0,40,,6,0.0,34.0,0.32956798242003155
14,22,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.3279201425079314
15,22,q_learning,central_route_closure,False,False,-40.0,40,,6,0.0,34.0,0.32628054179539173
16,22,q_learning,central_route_closure,False,False,-172.0,40,,6,0.0,34.0,0.3246491390864148
17,22,q_learning,central_route_closure,False,True,13.0,8,8,6,0.75,2.0,0.3230258933909827
18,22,q_learning,central_route_closure,False,True,13.0,8,8,6,0.75,2.0,0.3214107639240278
19,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31980371010440767
20,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31820469155388564
21,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31661366809611624
22,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31503059975563563
23,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31345544675685744
24,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31188816952307313
25,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.31032872867545774
26,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.30877708503208046
27,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.30723319960692
28,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.30569703360888545
29,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.304168548440841
30,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.3026477056986368
31,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.30113446717014364
32,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.29962879483429294
33,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.29813065086012147
34,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2966399976058209
35,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2951567976177918
36,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.29368101362970284
37,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.29221260856155434
38,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.29075154551874655
39,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.28929778779115284
40,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.28785129885219707
41,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2864120423579361
42,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.28497998214614645
43,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2835550822354157
44,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2821373068242386
45,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2807266202901174
46,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2793229871886668
47,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2779263722527235
48,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.27653674039145987
49,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.27515405668950255
50,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.273778286406055
51,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2724093949740247
52,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2710473479991546
53,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2696921112591588
54,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.26834365070286303
55,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2670019324493487
56,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.26566692278710197
57,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.26433858817316647
58,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.26301689523230065
59,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.26170181075613913
60,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2603933017023584
61,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.25909133519384664
62,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2577958785178774
63,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.256506899125288
64,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2552243646296616
65,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2539482428065133
66,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.25267850159248073
67,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2514151090845183
68,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2501580335390957
69,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.24890724337140024
70,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.24766270715454325
71,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.24642439361877053
72,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.24519227165067667
73,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.24396631029242327
74,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.24274647874096114
75,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.24153274634725633
76,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.24032508261552005
77,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.23912345720244244
78,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2379278399164302
79,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.23673820071684806
80,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.23555450971326383
81,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2343767371646975
82,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.233204853478874
83,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.23203882921147964
84,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.23087863506542225
85,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.22972424189009513
86,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.22857562068064466
87,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.22743274257724144
88,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.22629557886435522
89,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.22516410097003345
90,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2240382804651833
91,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.22291808906285737
92,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2218034986175431
93,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.22069448112445536
94,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.21959100871883308
95,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2184930536752389
96,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.21740058840686272
97,22,q_learning,central_route_closure,False,True,15.0,6,6,6,1.0,0.0,0.2163135854648284
